nominal;data;curs;cdx
1;27+02+2020;65,5177;Доллар США
1;28+02+2020;65,6097;Доллар США
1;29+02+2020;66,9909;Доллар США
1;03+03+2020;66,3274;Доллар США
1;04+03+2020;66,4437;Доллар США
1;05+03+2020;66,0784;Доллар США
1;06+03+2020;66,1854;Доллар США
1;07+03+2020;67,5175;Доллар США
1;11+03+2020;72,0208;Доллар США
1;12+03+2020;71,4720;Доллар США
1;13+03+2020;74,0274;Доллар США
1;14+03+2020;73,1882;Доллар США
1;17+03+2020;74,1262;Доллар США
1;18+03+2020;73,8896;Доллар США
1;19+03+2020;77,2131;Доллар США
1;20+03+2020;80,1570;Доллар США
1;21+03+2020;78,0443;Доллар США
1;24+03+2020;80,8815;Доллар США
1;25+03+2020;78,8493;Доллар США
1;26+03+2020;77,7928;Доллар США
1;27+03+2020;78,7223;Доллар США
1;28+03+2020;77,7325;Доллар США
1;07+04+2020;76,4074;Доллар США
1;08+04+2020;75,4550;Доллар США
1;09+04+2020;75,7499;Доллар США
1;10+04+2020;74,6050;Доллар США
1;11+04+2020;73,7515;Доллар США
1;14+04+2020;73,5245;Доллар США
1;15+04+2020;73,3150;Доллар США
1;16+04+2020;73,7145;Доллар США
1;17+04+2020;74,7119;Доллар США
1;18+04+2020;73,9441;Доллар США
1;21+04+2020;74,6657;Доллар США
1;22+04+2020;76,2562;Доллар США
1;23+04+2020;77,0416;Доллар США
1;24+04+2020;75,1290;Доллар США
1;25+04+2020;74,7163;Доллар США
1;28+04+2020;74,4960;Доллар США
1;29+04+2020;74,5706;Доллар США
1;30+04+2020;73,6894;Доллар США
1;01+05+2020;72,7263;Доллар США
1;07+05+2020;73,9719;Доллар США
1;08+05+2020;74,1169;Доллар США
1;09+05+2020;73,8725;Доллар США
1;13+05+2020;73,4326;Доллар США
1;14+05+2020;73,5819;Доллар США
1;15+05+2020;73,9298;Доллар США
1;16+05+2020;73,2056;Доллар США
1;19+05+2020;72,9798;Доллар США
1;20+05+2020;72,3918;Доллар США
1;21+05+2020;72,3381;Доллар США
1;22+05+2020;70,9240;Доллар США
1;23+05+2020;71,8804;Доллар США
1;26+05+2020;71,5962;Доллар США
1;27+05+2020;71,1408;Доллар США
1;28+05+2020;71,0635;Доллар США
1;29+05+2020;71,1012;Доллар США
1;30+05+2020;70,7520;Доллар США
1;02+06+2020;69,7114;Доллар США
1;03+06+2020;68,9831;Доллар США
1;04+06+2020;68,3413;Доллар США
1;05+06+2020;69,0151;Доллар США
1;06+06+2020;68,6319;Доллар США
1;09+06+2020;68,3123;Доллар США
1;10+06+2020;68,6745;Доллар США
1;11+06+2020;68,6183;Доллар США
1;12+06+2020;69,1219;Доллар США
1;16+06+2020;70,3950;Доллар США
1;17+06+2020;69,7524;Доллар США
1;18+06+2020;69,4822;Доллар США
1;19+06+2020;69,6180;Доллар США
1;20+06+2020;69,5725;Доллар США
1;23+06+2020;69,4835;Доллар США
1;24+06+2020;68,8376;Доллар США
1;25+06+2020;68,8376;Доллар США
1;26+06+2020;69,4660;Доллар США
1;27+06+2020;69,1284;Доллар США
1;30+06+2020;69,9513;Доллар США
1;01+07+2020;70,4413;Доллар США
1;02+07+2020;70,4413;Доллар США
1;03+07+2020;70,5198;Доллар США
1;04+07+2020;70,4999;Доллар США
1;07+07+2020;71,3409;Доллар США
1;08+07+2020;72,1719;Доллар США
